n,obs_mean,fc_mean,bias,mae,rmse,corr,model,obs,lead_day,lat_band
19780,2.6892805294379287,2.189228443199857,-0.5000520862380718,2.854834438539873,5.428743464640078,0.2501406509650011,graphcast,CHIRPS,3,equator_to_10N
10120,0.6260093725477611,1.1142375754980232,0.4882282029502618,1.1878481851785465,2.378401512631816,0.24628587979048808,graphcast,CHIRPS,3,north_of_10N
4416,3.5995587853410242,2.1172740354866493,-1.482284749854375,3.1986956215810207,7.27052690047267,0.4262689944144762,fourcastnet,CHIRPS,5,south_of_10S
12788,4.461475839593871,3.0200038231759203,-1.4414720164179513,3.9494689522956428,7.674901813286291,0.3888805736776552,fourcastnet,CHIRPS,5,10S_to_equator
19780,2.746206041236577,1.9596684602624759,-0.7865375809741011,2.6960669480281334,5.5593551209731995,0.34440882812762674,fourcastnet,CHIRPS,5,equator_to_10N
10120,0.6450728162186963,0.5514869699395658,-0.09358584627913041,0.8298511850447551,2.280937184475836,0.23792977010011684,fourcastnet,CHIRPS,5,north_of_10N
4416,3.5995587853410242,3.542330512104103,-0.05722827323692141,3.4847889420776266,7.268684103280198,0.4579781904647047,gencast,CHIRPS,5,south_of_10S
12788,4.461475839593871,4.792855449918481,0.33137961032460933,4.2054757547822055,8.02759298309618,0.419273864086434,gencast,CHIRPS,5,10S_to_equator
19780,2.746206041236577,2.6877465673136838,-0.05845947392289351,2.6430873732744753,5.075741044145491,0.4346376023630319,gencast,CHIRPS,5,equator_to_10N
10120,0.6450728162186963,0.49933759513778586,-0.14573522108091028,0.7599833884228419,2.0484252010896786,0.2853456808723057,gencast,CHIRPS,5,north_of_10N
4416,3.5995587853410242,3.2604756327961786,-0.3390831525448456,4.154639522812312,7.876002029766161,0.2607348173204051,graphcast,CHIRPS,5,south_of_10S
12788,4.461475839593871,4.8951500978415226,0.433674258247651,5.095537428575898,8.50068250053291,0.21685991526942244,graphcast,CHIRPS,5,10S_to_equator
19780,2.746206041236577,2.92459772963348,0.1783916883969032,3.3768169290022034,5.856915898476793,0.17177422163902847,graphcast,CHIRPS,5,equator_to_10N
10120,0.6450728162186963,1.2255166079797468,0.5804437917610507,1.326544178819375,2.549079796998821,0.19486306449427865,graphcast,CHIRPS,5,north_of_10N
4416,3.5311042837143987,1.817558537549829,-1.7135457461645698,3.2763041649741855,7.559715570779358,0.35398534768635864,fourcastnet,CHIRPS,7,south_of_10S
12788,4.426583094282351,2.8623664558340587,-1.5642166384482916,4.014370556459202,7.837596831485849,0.3349531262633358,fourcastnet,CHIRPS,7,10S_to_equator
19780,2.791755661880572,1.9615472137713579,-0.8302084481092145,2.786398321519822,5.749429392128294,0.30273291111989215,fourcastnet,CHIRPS,7,equator_to_10N
10120,0.6567029737189557,0.5649594825954997,-0.09174349112345608,0.844694951548328,2.2985716417694526,0.22816612737862058,fourcastnet,CHIRPS,7,north_of_10N
4416,3.5311042837143987,3.3455434323029314,-0.18556085141146814,3.515281910228645,7.119070110397809,0.44799897154865015,gencast,CHIRPS,7,south_of_10S
12788,4.426583094282351,4.174686437713805,-0.2518966565685454,4.017245661179362,7.765312559399199,0.40634673912311825,gencast,CHIRPS,7,10S_to_equator
19780,2.791755661880572,2.4578575896341976,-0.3338980722463747,2.6482820465845025,5.132123935327267,0.40279456224095217,gencast,CHIRPS,7,equator_to_10N
10120,0.6567029737189557,0.46773144745423456,-0.18897152626472113,0.7686485054950117,2.087256275313701,0.2532753354413527,gencast,CHIRPS,7,north_of_10N
4416,3.5311042837143987,3.5569737091642786,0.02586942544987955,4.334134347670025,8.087214594925008,0.19942234093810846,graphcast,CHIRPS,7,south_of_10S
12788,4.426583094282351,5.432764667466756,1.0061815731844055,5.544884371136627,8.757003057547916,0.15790418820841126,graphcast,CHIRPS,7,10S_to_equator
19780,2.791755661880572,3.6956016905132127,0.9038460286326405,4.0307443481772856,6.5270154610042725,0.08872152464910799,graphcast,CHIRPS,7,equator_to_10N
10120,0.6567029737189557,1.5067649679030237,0.8500619941840679,1.5823412094545841,2.793121732080854,0.16562482241811136,graphcast,CHIRPS,7,north_of_10N
6900,6.174212029219471,4.226039354529111,-1.9481726746903592,3.9430713376841164,9.651949777101997,0.6563372919108719,fourcastnet,ERA5,1,south_of_10S
23000,6.3261599032359825,3.9768429548341957,-2.349316948401787,4.0710392359907965,9.031459628340988,0.5914213403597681,fourcastnet,ERA5,1,10S_to_equator
23000,2.2903800474354177,1.4960844058513894,-0.7942956415840281,1.7492708636538283,4.246000262265036,0.5494082859051506,fourcastnet,ERA5,1,equator_to_10N
11500,0.5071720453970124,0.454460769307156,-0.052711276089856436,0.473893142118481,1.5954075186898349,0.5439349956695425,fourcastnet,ERA5,1,north_of_10N
6900,6.174212029219471,6.066057980621018,-0.10815404859845316,3.189282156257869,7.5108449377482005,0.8134731087536653,gencast,ERA5,1,south_of_10S
23000,6.3261599032359825,6.130390474276864,-0.1957694289591184,3.228483470915929,7.662129703446654,0.7538733481672392,gencast,ERA5,1,10S_to_equator
23000,2.2903800474354177,2.2313262789659083,-0.059053768469509334,1.5987252594357333,3.9029693144455657,0.6724432361072726,gencast,ERA5,1,equator_to_10N
11500,0.5071720453970124,0.44531383407895825,-0.061858211318054315,0.37122165463695583,1.3545032413677551,0.6812571224126972,gencast,ERA5,1,north_of_10N
6900,6.174212029219471,6.094009349429845,-0.08020267978962588,5.016547884841449,11.579061158491,0.5482758129678125,graphcast,ERA5,1,south_of_10S
23000,6.3261599032359825,6.385097736122978,0.05893783288699488,4.991805059908263,10.662906198858579,0.5110945511898933,graphcast,ERA5,1,10S_to_equator
23000,2.2903800474354177,2.274558405621868,-0.015821641813549274,2.2113519369905643,5.242874934809647,0.3802497873138092,graphcast,ERA5,1,equator_to_10N
11500,0.5071720453970124,0.7657061771815238,0.25853413178451123,0.694752932322902,1.624706338681637,0.5206840211839107,graphcast,ERA5,1,north_of_10N
6900,5.806024285530071,3.230262499314439,-2.575761786215632,4.25806618838987,11.341977586296398,0.44081391575674395,fourcastnet,ERA5,3,south_of_10S
23000,6.214823668633305,3.3688919562898816,-2.845931712343423,4.241675598531179,9.650386765725878,0.5075377892836741,fourcastnet,ERA5,3,10S_to_equator
23000,2.2960612747835225,1.7806704036916237,-0.5153908710918986,1.8833890834882223,4.451645507239287,0.5093282070969922,fourcastnet,ERA5,3,equator_to_10N
11500,0.5071369023027703,0.4894719145769151,-0.017664987725855216,0.5240580713981168,1.7327436422164304,0.4776158385237201,fourcastnet,ERA5,3,north_of_10N
6900,5.806024285530071,5.772961838732852,-0.03306244679722006,3.9846940937371267,10.158059747988359,0.6003349525678991,gencast,ERA5,3,south_of_10S
23000,6.214823668633305,5.942507572889858,-0.2723160957434464,3.805868541945659,8.455132450239931,0.6393678466224643,gencast,ERA5,3,10S_to_equator
23000,2.2960612747835225,2.611654664950757,0.3155933901672345,1.902329987019336,4.0086861671708744,0.6179904378728753,gencast,ERA5,3,equator_to_10N
11500,0.5071369023027703,0.4187676068122053,-0.08836929549056498,0.39559194289439115,1.3649269399368362,0.6513464648258938,gencast,ERA5,3,north_of_10N
6900,5.806024285530071,4.816615584202759,-0.989408701327313,5.308874307765025,12.50894771559742,0.26742627425828025,graphcast,ERA5,3,south_of_10S
23000,6.214823668633305,4.667992818483354,-1.5468308501499508,5.000241511911796,10.336631356465427,0.35749850407197276,graphcast,ERA5,3,10S_to_equator
23000,2.2960612747835225,2.398376871411891,0.1023155966283685,2.469758109295448,4.811133746649689,0.35858556162762323,graphcast,ERA5,3,equator_to_10N
11500,0.5071369023027703,1.0469596703677722,0.5398227680650018,0.995315209869712,2.10550887961213,0.33871944138730053,graphcast,ERA5,3,north_of_10N
6900,5.54996348298888,2.9332407394483404,-2.616722743540539,4.199070845251183,11.413847029732603,0.39522723426282974,fourcastnet,ERA5,5,south_of_10S
23000,6.14319880218095,3.8038043415949256,-2.3393944605860244,4.239627185791252,9.494880903826395,0.5110225773807894,fourcastnet,ERA5,5,10S_to_equator
23000,2.3199768076625236,1.797087679402164,-0.5228891282603596,1.9570147340848945,4.593386161780367,0.4801541347282302,fourcastnet,ERA5,5,equator_to_10N
11500,0.5062847084929651,0.4895879274116345,-0.016696781081330676,0.559687673254538,1.8220310073596173,0.4292121866936664,fourcastnet,ERA5,5,north_of_10N
6900,5.54996348298888,4.791086151613151,-0.7588773313757274,4.052236563611168,10.904740558056238,0.45158278281250763,gencast,ERA5,5,south_of_10S
23000,6.14319880218095,6.024506476517608,-0.11869232566334131,4.1007581637454775,8.90275263996421,0.5712546832842574,gencast,ERA5,5,10S_to_equator
23000,2.3199768076625236,2.6909390062181724,0.37096219855564866,2.0242015783766667,4.108897718395988,0.5874128066748264,gencast,ERA5,5,equator_to_10N
11500,0.5062847084929651,0.46007568031846663,-0.04620902817449852,0.4448666563856877,1.456220091838446,0.5858421880778064,gencast,ERA5,5,north_of_10N
6900,5.54996348298888,5.281294114178829,-0.26866936881005,5.613073219958562,12.17340725007103,0.24700731173892698,graphcast,ERA5,5,south_of_10S
