country,model,lead_day,obs,bias,mae,rmse,pooled_corr,crps,n_pairs,n_cells
Tanzania,neuralgcm,1,CHIRPS,1.0171,4.8340,8.1337,0.3992,3.7111,6900,75
Somalia,neuralgcm,1,CHIRPS,-0.2472,2.2307,5.2572,0.3049,1.7706,3588,39
Uganda,neuralgcm,1,CHIRPS,2.2156,4.4558,6.5291,0.2821,3.3739,1840,20
Rwanda,neuralgcm,1,CHIRPS,4.7725,6.8876,9.9851,0.1709,5.4944,92,1
Burundi,neuralgcm,1,CHIRPS,0.7118,5.1723,8.1149,0.3043,4.0609,184,2
Kenya,neuralgcm,3,CHIRPS,-0.8625,3.6004,7.1437,0.4345,2.7709,4416,48
Ethiopia,neuralgcm,3,CHIRPS,-0.6820,2.8432,5.5322,0.3878,2.1416,8280,90
Tanzania,neuralgcm,3,CHIRPS,0.2029,4.3116,7.6852,0.3954,3.0991,6900,75
Somalia,neuralgcm,3,CHIRPS,-0.1891,2.1595,4.7918,0.3706,1.5324,3588,39
Uganda,neuralgcm,3,CHIRPS,2.4361,4.3311,5.9114,0.3347,2.8906,1840,20
Rwanda,neuralgcm,3,CHIRPS,4.8121,6.9174,9.1197,0.1782,4.4651,92,1
Burundi,neuralgcm,3,CHIRPS,-0.5968,4.4011,7.0341,0.3730,3.2704,184,2
Kenya,neuralgcm,5,CHIRPS,-1.0894,3.6506,7.3537,0.3732,2.7930,4416,48
Ethiopia,neuralgcm,5,CHIRPS,-0.8851,2.8326,5.5559,0.3781,2.0934,8280,90
Tanzania,neuralgcm,5,CHIRPS,0.0446,4.0298,7.4121,0.3909,2.9420,6900,75
Somalia,neuralgcm,5,CHIRPS,-0.1389,2.1203,4.5608,0.4396,1.4764,3588,39
Uganda,neuralgcm,5,CHIRPS,0.7712,3.5508,4.8619,0.3098,2.3747,1840,20
Rwanda,neuralgcm,5,CHIRPS,1.7346,4.8260,7.3210,0.2020,3.2125,92,1
Burundi,neuralgcm,5,CHIRPS,-0.7508,4.0473,6.8996,0.4026,3.0006,184,2
Kenya,neuralgcm,7,CHIRPS,-0.4282,3.9332,7.4703,0.3449,2.7798,4416,48
Ethiopia,neuralgcm,7,CHIRPS,-0.6953,2.9213,5.6291,0.3474,2.0984,8280,90
Tanzania,neuralgcm,7,CHIRPS,0.7345,4.4058,7.6642,0.3680,3.0483,6900,75
Somalia,neuralgcm,7,CHIRPS,0.0514,2.2814,4.8427,0.3607,1.5638,3588,39
Uganda,neuralgcm,7,CHIRPS,2.2671,4.2138,5.4127,0.3442,2.6385,1840,20
Rwanda,neuralgcm,7,CHIRPS,3.7267,5.9888,8.1333,0.2353,3.8554,92,1
Burundi,neuralgcm,7,CHIRPS,0.6659,4.2955,6.6381,0.4848,2.8905,184,2
