hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
365,2950,1924,178569,0.11010558069381599,0.8405417212756662,0.06966978430998282,0.6904977375565611,0.01803512360724234,0.01245321204735376,graphcast,CHIRPS,1,20,annual
46614,12216,28848,96130,0.7923508414074452,0.3822851236383875,0.5316499007732841,1.282712901580826,0.3200622388579387,0.410547963091922,neuralgcm,CHIRPS,1,1,annual
14375,15300,16010,138123,0.4844144903117102,0.5269047227250288,0.3146547006676152,1.0239258635214827,0.1614456389275766,0.16530836525069637,neuralgcm,CHIRPS,1,5,annual
3245,10639,7624,162300,0.23372227023912417,0.7014444751127059,0.15087409336061,0.7828435609334485,0.07553534122562675,0.05913235550139276,neuralgcm,CHIRPS,1,10,annual
285,3030,1260,179233,0.08597285067873303,0.8155339805825242,0.06229508196721312,0.4660633484162896,0.01803512360724234,0.008405510097493036,neuralgcm,CHIRPS,1,20,annual
39877,18720,18786,106425,0.6805297199515333,0.32023592383614885,0.5153199023041236,1.001126337525812,0.31879461176880225,0.31915368210306405,fourcastnet,CHIRPS,3,1,annual
10468,18981,8832,145527,0.3554619851268294,0.4576165803108808,0.27345158172461537,0.6553703011986824,0.1602160950557103,0.10500087047353761,fourcastnet,CHIRPS,3,5,annual
2346,11416,3876,166170,0.17046940851620404,0.6229508196721312,0.13300827758249234,0.4521145182386281,0.07487160515320335,0.033850539693593314,fourcastnet,CHIRPS,3,10,annual
140,3129,629,179910,0.042826552462526764,0.8179453836150845,0.03591585428424833,0.23524013459773632,0.01778486246518106,0.004183713440111421,fourcastnet,CHIRPS,3,20,annual
46495,12102,23440,101771,0.7934706554943086,0.3351683706298706,0.5667564635469361,1.1934911343584143,0.31879461176880225,0.38047854282729804,gencast,CHIRPS,3,1,annual
16037,13412,14147,140212,0.5445685761825528,0.46869202226345086,0.3678548490687219,1.0249584026622296,0.1602160950557103,0.16421483286908078,gencast,CHIRPS,3,5,annual
4234,9528,7037,163009,0.3076587705275396,0.6243456658681572,0.20356747920573104,0.8189943322191542,0.07487160515320335,0.061319420264623954,gencast,CHIRPS,3,10,annual
362,2907,1233,179306,0.11073722851024778,0.7730407523510971,0.08040870724122612,0.48791679412664424,0.01778486246518106,0.00867753307799443,gencast,CHIRPS,3,20,annual
43647,14950,35479,89732,0.7448674846835163,0.44838611834289616,0.46395467494366255,1.3503421676877656,0.31879461176880225,0.43048180710306405,graphcast,CHIRPS,3,1,annual
9684,19765,13078,141281,0.3288396889537845,0.5745540813636763,0.22771415806428857,0.7729294712893476,0.1602160950557103,0.12383574164345404,graphcast,CHIRPS,3,5,annual
1838,11924,5360,164686,0.1335561691614591,0.7446512920255627,0.09611965275598787,0.5230344426682169,0.07487160515320335,0.0391604282729805,graphcast,CHIRPS,3,10,annual
