model,obs,lead_day,threshold_mm_day,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,3,5,0.7,0.5352517985611511,1390,0.16474820143884883,0.0048615828804347795,0.07746900475543478
gencast,CHIRPS,3,5,0.8,0.5509881422924902,1265,0.2490118577075099,0.006687330163043478,0.07746900475543478
gencast,CHIRPS,3,5,0.9,0.6398268398268399,1155,0.26017316017316017,0.006379500679347826,0.07746900475543478
gencast,CHIRPS,3,5,1.0,0.7114093959731543,1192,0.28859060402684567,0.007302989130434784,0.07746900475543478
gencast,CHIRPS,3,10,0.0,0.03320835565077665,35473,0.03320835565077665,0.02500849184782609,0.051861837635869566
gencast,CHIRPS,3,10,0.1,0.1650273224043716,3660,0.06502732240437159,0.005052649456521739,0.051861837635869566
gencast,CHIRPS,3,10,0.2,0.20369535826949076,2219,0.003695358269490745,0.00017408288043478182,0.051861837635869566
gencast,CHIRPS,3,10,0.3,0.24448897795591182,1497,0.05551102204408817,0.001764181385869565,0.051861837635869566
gencast,CHIRPS,3,10,0.4,0.31150442477876106,1130,0.08849557522123896,0.00212296195652174,0.051861837635869566
gencast,CHIRPS,3,10,0.5,0.3234597156398104,844,0.1765402843601896,0.003163213315217392,0.051861837635869566
gencast,CHIRPS,3,10,0.6,0.3473053892215569,668,0.2526946107784431,0.0035835597826086953,0.051861837635869566
gencast,CHIRPS,3,10,0.7,0.4225865209471767,549,0.27741347905282326,0.0032332710597826084,0.051861837635869566
gencast,CHIRPS,3,10,0.8,0.5357917570498916,461,0.2642082429501085,0.0025857676630434787,0.051861837635869566
gencast,CHIRPS,3,10,0.9,0.4728434504792332,313,0.4271565495207668,0.002838400135869565,0.051861837635869566
gencast,CHIRPS,3,10,1.0,0.6206896551724138,290,0.3793103448275862,0.0023352581521739126,0.051861837635869566
gencast,CHIRPS,3,20,0.0,0.013393592731210132,42483,0.013393592731210132,0.012079653532608698,0.021178668478260873
gencast,CHIRPS,3,20,0.1,0.07983367983367984,2405,0.020166320166320167,0.0010296365489130435,0.021178668478260873
gencast,CHIRPS,3,20,0.2,0.1493212669683258,884,0.05067873303167422,0.0009510869565217393,0.021178668478260873
gencast,CHIRPS,3,20,0.3,0.16846652267818574,463,0.13153347732181425,0.0012928838315217391,0.021178668478260873
gencast,CHIRPS,3,20,0.4,0.18088737201365188,293,0.21911262798634815,0.0013629415760869567,0.021178668478260873
gencast,CHIRPS,3,20,0.5,0.25654450261780104,191,0.24345549738219896,0.0009871773097826087,0.021178668478260873
