hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day
3427,4042,3571,53360,0.4588298299638506,0.5102886539011146,0.3104166666666667,0.9369393493104833,0.11597826086956521,0.10866459627329192,neuralgcm,ERA5,1,10
764,1783,1248,60605,0.2999607381232823,0.6202783300198808,0.20131752305665349,0.789948959560267,0.03954968944099379,0.03124223602484472,neuralgcm,ERA5,1,20
20744,7504,4455,31697,0.7343528745397905,0.17679272987023295,0.6343148946579824,0.8920631549136222,0.4386335403726708,0.3912888198757764,fourcastnet,ERA5,3,1
6364,7331,2512,48193,0.4646951442132165,0.2830103650292925,0.392669834022336,0.6481197517342095,0.2126552795031056,0.13782608695652174,fourcastnet,ERA5,3,5
2220,5027,1433,55720,0.3063336553056437,0.3922803175472215,0.2557603686635945,0.5040706499241066,0.11253105590062112,0.05672360248447205,fourcastnet,ERA5,3,10
327,2145,390,61538,0.13228155339805825,0.5439330543933054,0.11425576519916142,0.29004854368932037,0.03838509316770186,0.011133540372670808,fourcastnet,ERA5,3,20
25278,2970,6946,29206,0.8948598130841121,0.21555362462760674,0.7182474285389555,1.1407533276692154,0.4386335403726708,0.5003726708074534,gencast,ERA5,3,1
10105,3590,5286,45419,0.737860533041256,0.3434474693002404,0.5323744797429008,1.1238408178167214,0.2126552795031056,0.23899068322981368,gencast,ERA5,3,5
4160,3087,2805,54348,0.5740306333655306,0.40272792534099067,0.41384799044966175,0.961087346488202,0.11253105590062112,0.10815217391304348,gencast,ERA5,3,10
940,1532,901,61027,0.3802588996763754,0.48940793047256925,0.2786836643937148,0.7447411003236246,0.03838509316770186,0.02858695652173913,gencast,ERA5,3,20
24613,3635,13295,22857,0.8713183234211271,0.35071752664345257,0.5924704523024337,1.3419711129991503,0.4386335403726708,0.5886335403726708,graphcast,ERA5,3,1
6821,6874,6096,44609,0.49806498722161374,0.4719362080978555,0.3446516093173665,0.9431909456005841,0.2126552795031056,0.20057453416149068,graphcast,ERA5,3,5
1980,5267,2804,54349,0.27321650338070924,0.5861204013377926,0.1969953238483733,0.6601352283703601,0.11253105590062112,0.07428571428571429,graphcast,ERA5,3,10
230,2242,582,61346,0.09304207119741101,0.7167487684729064,0.07531106745252128,0.3284789644012945,0.03838509316770186,0.012608695652173913,graphcast,ERA5,3,20
