hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
15525,3421,7759,35759,0.8194341813575425,0.33323312145679435,0.581351806777757,1.2289665364720785,0.30331070696721313,0.37275870901639346,neuralgcm,ERA5,1,1,JJAS
4174,4489,3831,49970,0.4818192312132056,0.47857589006870704,0.3340803585721146,0.9240447881796144,0.13868788422131148,0.12815381659836064,neuralgcm,ERA5,1,5,JJAS
492,3549,1351,57072,0.12175204157386786,0.733043950081389,0.09124629080118694,0.4560752289037367,0.06469326331967214,0.02950499487704918,neuralgcm,ERA5,1,10,JJAS
7,800,97,61560,0.008674101610904586,0.9326923076923077,0.007743362831858407,0.1288723667905824,0.012919441598360656,0.0016649590163934425,neuralgcm,ERA5,1,20,JJAS
12870,6076,2988,40530,0.6792990604877019,0.188422247446084,0.5867602808425276,0.8370104507547768,0.30331070696721313,0.25387423155737704,fourcastnet,ERA5,3,1,JJAS
3955,4708,1339,52462,0.45653930509061524,0.25292784284095204,0.39542091581683664,0.6111046981415215,0.13868788422131148,0.08475281762295082,fourcastnet,ERA5,3,5,JJAS
1122,2919,831,57592,0.27765404602821087,0.4254992319508449,0.23029556650246305,0.48329621380846327,0.06469326331967214,0.031266009221311473,fourcastnet,ERA5,3,10,JJAS
57,750,234,61423,0.07063197026022305,0.8041237113402062,0.05475504322766571,0.36059479553903345,0.012919441598360656,0.0046586834016393444,fourcastnet,ERA5,3,20,JJAS
16278,2668,5329,38189,0.8591787184630001,0.24663303559031796,0.6705664263645726,1.1404518104085295,0.30331070696721313,0.34591124487704916,gencast,ERA5,3,1,JJAS
5673,2990,2808,50993,0.6548539766824426,0.33109303148213654,0.4945514776392642,0.9789911116241486,0.13868788422131148,0.13577420594262296,gencast,ERA5,3,5,JJAS
1580,2461,1262,57161,0.39099232863152683,0.44405348346235046,0.29794455968319816,0.7032912645384806,0.06469326331967214,0.045498206967213115,gencast,ERA5,3,10,JJAS
108,699,233,61424,0.13382899628252787,0.6832844574780058,0.10384615384615385,0.4225526641883519,0.012919441598360656,0.0054591444672131145,gencast,ERA5,3,20,JJAS
13974,4972,8736,34782,0.7375699356064604,0.3846763540290621,0.5048045661440648,1.1986699039375066,0.30331070696721313,0.36356941598360654,graphcast,ERA5,3,1,JJAS
3313,5350,2334,51467,0.3824310285120628,0.4133168053833894,0.30126398108575064,0.6518527069144638,0.13868788422131148,0.09040407274590163,graphcast,ERA5,3,5,JJAS
797,3244,1139,57284,0.19722840880970058,0.5883264462809917,0.15386100386100385,0.47908933432318734,0.06469326331967214,0.030993852459016393,graphcast,ERA5,3,10,JJAS
35,772,165,61492,0.04337050805452292,0.825,0.0360082304526749,0.24783147459727387,0.012919441598360656,0.003201844262295082,graphcast,ERA5,3,20,JJAS
15786,3160,8452,35066,0.8332101762905099,0.3487086393266771,0.5761734433170305,1.2793201731236146,0.30331070696721313,0.388031506147541,neuralgcm,ERA5,3,1,JJAS
4999,3664,5143,48658,0.5770518296202239,0.5070991914809703,0.36208894683470955,1.1707260764169456,0.13868788422131148,0.1623655225409836,neuralgcm,ERA5,3,5,JJAS
