n,obs_mean,fc_mean,bias,mae,rmse,pooled_corr,model,obs,lead_day,season
29184,2.8450011532249255,2.4988582306012566,-0.34614292262366886,2.518693744155815,5.497532337919702,0.5055529196355238,graphcast,ERA5,3,JF
29184,2.8450011532249255,2.7590227683680686,-0.08597838485685703,2.0186783310966194,4.651739535323195,0.6737269536084666,neuralgcm,ERA5,3,JF
28160,2.7985142532836194,1.586882201816402,-1.2116320514672172,1.9047808527736139,4.858037849425581,0.6622512353365979,fourcastnet,ERA5,5,JF
28160,2.7985142532836194,2.7829731485551292,-0.0155411047284898,1.6863859589752694,4.161349800579014,0.7437128236867294,gencast,ERA5,5,JF
28160,2.7985142532836194,2.4168419907381966,-0.3816722625454228,2.7835615804355833,5.70190790042325,0.4076836757486312,graphcast,ERA5,5,JF
28160,2.7985142532836194,2.5036429350820493,-0.2948713182015699,1.954940974174426,4.6045774751227135,0.6655967640313546,neuralgcm,ERA5,5,JF
27136,2.779168647815856,1.50882753852889,-1.270341109286966,1.971660059615022,5.049093552670892,0.6203221865272484,fourcastnet,ERA5,7,JF
27136,2.779168647815856,2.6087353308360357,-0.1704333169798206,1.8130725774480547,4.427658225247656,0.6949779710085032,gencast,ERA5,7,JF
27136,2.779168647815856,2.901277914131896,0.12210926631603958,3.247152151189311,6.126076559126355,0.30603304508637913,graphcast,ERA5,7,JF
27136,2.779168647815856,2.692421135654893,-0.08674751216096305,2.0438700564456362,4.633816930439917,0.6577940564174517,neuralgcm,ERA5,7,JF
30149,2.03998479960725,1.7572623354191388,-0.28272246418811153,1.8599565459237706,4.295527058737953,0.4792337460599742,fourcastnet,TAMSAT,1,JF
30149,2.03998479960725,2.742246487152277,0.7022616875450267,2.231345891395474,5.618029090085074,0.5044996042732489,gencast,TAMSAT,1,JF
30149,2.03998479960725,2.5884044373485557,0.5484196377413053,2.3806551724309535,5.339896939570393,0.44366512465943136,graphcast,TAMSAT,1,JF
30149,2.03998479960725,2.8716987745569647,0.8317139749497143,2.2147183686804217,4.670872188934679,0.5545740340123823,neuralgcm,TAMSAT,1,JF
29127,1.9719248207599758,1.8441573979993084,-0.12776742276066713,1.8221088086319095,4.150780300248207,0.4875203786253077,fourcastnet,TAMSAT,3,JF
29127,1.9719248207599758,2.7210445554163223,0.7491197346563467,2.025737245409559,4.571417194718532,0.5727163837505146,gencast,TAMSAT,3,JF
29127,1.9719248207599758,2.502783987524501,0.5308591667645254,2.417931175865129,4.742403023154795,0.3954666095033041,graphcast,TAMSAT,3,JF
29127,1.9719248207599758,2.763521668703981,0.7915968479440054,2.1356563558901143,4.399263608295772,0.5515051414632774,neuralgcm,TAMSAT,3,JF
28105,1.908862134434939,1.5897643040734173,-0.31909783036152195,1.7486518448189692,3.9669952409157205,0.4690246152458184,fourcastnet,TAMSAT,5,JF
28105,1.908862134434939,2.7874883630476845,0.878626228612745,2.076950957682196,4.636062194463044,0.5551276905993119,gencast,TAMSAT,5,JF
28105,1.908862134434939,2.4206076908838674,0.5117455564489285,2.483651221915506,4.481505558702258,0.34775653425551173,graphcast,TAMSAT,5,JF
28105,1.908862134434939,2.5077022880737294,0.5988401536387904,1.9314208719955297,4.0160687164094995,0.5677496641419802,neuralgcm,TAMSAT,5,JF
27083,1.8769082875699372,1.5115832570463332,-0.36532503052360393,1.7369394698043628,3.9712670660287004,0.44482348266579913,fourcastnet,TAMSAT,7,JF
27083,1.8769082875699372,2.6130721454575556,0.7361638578876185,2.0211760789998614,4.33616433020875,0.5348645742757402,gencast,TAMSAT,7,JF
27083,1.8769082875699372,2.9055746263968,1.0286663388268633,2.9040545138679015,4.960690120700435,0.2635694514814813,graphcast,TAMSAT,7,JF
27083,1.8769082875699372,2.696247637162673,0.819339349592736,2.069872131191067,4.157716623457675,0.5512877939390768,neuralgcm,TAMSAT,7,JF
