hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
7394,1336,1799,17631,0.8469644902634593,0.19569237463287284,0.7022509260138665,1.0530355097365407,0.31001420454545453,0.32645596590909093,fourcastnet,ERA5,5,1,JF
2229,2880,617,22434,0.4362889019377569,0.21679550245959242,0.38927698218651763,0.5570561753767861,0.18142755681818182,0.1010653409090909,fourcastnet,ERA5,5,5,JF
558,2313,214,25075,0.19435736677115986,0.2772020725388601,0.18087520259319287,0.26889585510275166,0.101953125,0.02741477272727273,fourcastnet,ERA5,5,10,JF
72,646,42,27400,0.10027855153203342,0.3684210526315789,0.09473684210526316,0.15877437325905291,0.02549715909090909,0.004048295454545455,fourcastnet,ERA5,5,20,JF
7970,760,1940,17490,0.9129438717067583,0.19576185671039353,0.746954076850984,1.1351660939289805,0.31001420454545453,0.35191761363636365,gencast,ERA5,5,1,JF
4059,1050,1566,21485,0.7944803288314739,0.2784,0.6080898876404495,1.1009982384028185,0.18142755681818182,0.19975142045454544,gencast,ERA5,5,5,JF
1694,1177,1017,24272,0.5900383141762452,0.3751383253412025,0.43569958847736623,0.9442702890978754,0.101953125,0.09627130681818181,gencast,ERA5,5,10,JF
212,506,255,27187,0.29526462395543174,0.5460385438972163,0.21788283658787255,0.6504178272980501,0.02549715909090909,0.016583806818181817,gencast,ERA5,5,20,JF
7760,970,6124,13306,0.8888888888888888,0.4410832613079804,0.5224182038508146,1.5903780068728521,0.31001420454545453,0.49303977272727273,graphcast,ERA5,5,1,JF
2164,2945,2273,20778,0.4235662556273243,0.5122830741491999,0.29314548902736387,0.8684674104521433,0.18142755681818182,0.15756392045454545,graphcast,ERA5,5,5,JF
403,2468,714,24575,0.14036920933472657,0.639212175470009,0.11241283124128312,0.389063044235458,0.101953125,0.03966619318181818,graphcast,ERA5,5,10,JF
21,697,49,27393,0.02924791086350975,0.7,0.027379400260756193,0.09749303621169916,0.02549715909090909,0.0024857954545454545,graphcast,ERA5,5,20,JF
7863,867,2573,16857,0.9006872852233677,0.24655040245304716,0.6956560205255242,1.195418098510882,0.31001420454545453,0.3705965909090909,neuralgcm,ERA5,5,1,JF
3731,1378,1864,21187,0.7302798982188295,0.33315460232350314,0.5350638175821024,1.0951262477980035,0.18142755681818182,0.19868607954545456,neuralgcm,ERA5,5,5,JF
1131,1740,847,24442,0.3939393939393939,0.4282103134479272,0.3041958041958042,0.6889585510275166,0.101953125,0.07024147727272727,neuralgcm,ERA5,5,10,JF
69,649,96,27346,0.09610027855153204,0.5818181818181818,0.08476658476658476,0.2298050139275766,0.02549715909090909,0.005859375,neuralgcm,ERA5,5,20,JF
6874,1548,1728,16986,0.8161956779862265,0.20088351546152058,0.6772413793103448,1.0213725955829969,0.3103626179245283,0.3169958726415094,fourcastnet,ERA5,7,1,JF
1995,2883,618,21640,0.4089790897908979,0.2365097588978186,0.36299126637554585,0.535670356703567,0.17976120283018868,0.09629274764150944,fourcastnet,ERA5,7,5,JF
441,2290,221,24184,0.16147931160746978,0.3338368580060423,0.14939024390243902,0.24240205053094105,0.10064121462264151,0.02439563679245283,fourcastnet,ERA5,7,10,JF
42,638,40,26416,0.061764705882352944,0.4878048780487805,0.058333333333333334,0.12058823529411765,0.025058962264150945,0.0030218160377358493,fourcastnet,ERA5,7,20,JF
7635,787,2013,16701,0.9065542626454524,0.20864427860696516,0.7316722568279828,1.1455711232486345,0.3103626179245283,0.3555424528301887,gencast,ERA5,7,1,JF
3813,1065,1743,20515,0.7816728167281672,0.31371490280777536,0.5758948799275034,1.138991389913899,0.17976120283018868,0.20474646226415094,gencast,ERA5,7,5,JF
1366,1365,993,23412,0.5001830831197364,0.42094107672742687,0.3668098818474758,0.863786158916148,0.10064121462264151,0.08693248820754718,gencast,ERA5,7,10,JF
83,597,124,26332,0.12205882352941176,0.5990338164251208,0.10323383084577115,0.3044117647058823,0.025058962264150945,0.0076282429245283015,gencast,ERA5,7,20,JF
7419,1003,7408,11306,0.8809071479458561,0.4996290551021785,0.46866708780795957,1.7605081928283068,0.3103626179245283,0.5463959316037735,graphcast,ERA5,7,1,JF
2177,2701,3467,18791,0.44628946289462895,0.614280652019844,0.2608747753145596,1.1570315703157033,0.17976120283018868,0.20798938679245282,graphcast,ERA5,7,5,JF
356,2375,1220,23185,0.13035518125228854,0.7741116751269036,0.09010377119716527,0.5770779934090077,0.10064121462264151,0.05807783018867924,graphcast,ERA5,7,10,JF
7,673,112,26344,0.010294117647058823,0.9411764705882353,0.008838383838383838,0.175,0.025058962264150945,0.004385318396226415,graphcast,ERA5,7,20,JF
7518,904,2759,15955,0.8926620755165043,0.26846355940449546,0.6723906627314193,1.2202564711469959,0.3103626179245283,0.3787219929245283,neuralgcm,ERA5,7,1,JF
3642,1236,2113,20145,0.7466174661746617,0.3671589921807124,0.5209555142325848,1.1797867978679786,0.17976120283018868,0.21207989386792453,neuralgcm,ERA5,7,5,JF
1217,1514,1122,23283,0.445624313438301,0.4796921761436511,0.3158577731637685,0.8564628341266936,0.10064121462264151,0.08619545990566038,neuralgcm,ERA5,7,10,JF
59,621,96,26360,0.08676470588235294,0.6193548387096774,0.07603092783505154,0.22794117647058823,0.025058962264150945,0.0057119693396226415,neuralgcm,ERA5,7,20,JF
