model,obs,lead_day,threshold_mm_day,season,brier_score,event_rate,bss,reliability,resolution,uncertainty
gencast,ERA5,3,5,JF,0.06377443419264278,0.18361720597519657,0.5758193487139285,0.001270952967665879,0.08754137311609798,0.14982202376685316
gencast,ERA5,3,10,JF,0.0547076187225265,0.10372266009356934,0.4127209338593304,0.0008317751110664172,0.03922201818578351,0.09301743605717323
gencast,ERA5,3,20,JF,0.02100207271743443,0.02654312082689938,0.18851059197030262,0.0007476286956124796,0.005632943045265137,0.025915330797021078
gencast,ERA5,5,1,JF,0.06733644212052613,0.3105232023411031,0.6862611176844774,0.0005749911643094554,0.147369948348904,0.21390539752550358
gencast,ERA5,5,5,JF,0.06452901456290654,0.1815540104789694,0.5669458411717611,0.0007736731538123892,0.08497170625807053,0.14851159844516723
gencast,ERA5,5,10,JF,0.05536695345813734,0.10189041693182216,0.39620118631682877,0.0007398146599534214,0.03701547439450598,0.09155868530273438
gencast,ERA5,5,20,JF,0.02070837490670182,0.02541916121870933,0.16531969477686947,0.0007517234106061057,0.004859430788898977,0.024847053969201963
gencast,ERA5,7,1,JF,0.07336682754006703,0.3108734252194879,0.658337303784114,0.0007920642442487439,0.1417010424223009,0.2140376633195616
gencast,ERA5,7,5,JF,0.0728837368552093,0.17988491900712184,0.5072735611532592,0.0013959099340932206,0.07619193191943888,0.14744711278723244
gencast,ERA5,7,10,JF,0.060516698949532585,0.10057685173872724,0.3322595229666352,0.0009065721638268696,0.0309802323519742,0.09051256054192092
gencast,ERA5,7,20,JF,0.022166686147958477,0.024979154475401014,0.09089524893719214,0.0007647801294161531,0.002985442926452465,0.024431010674394803
neuralgcm,CHIRPS,1,1,JF,0.12204650566816126,0.2787292991299512,0.39465714292028686,0.017930063413369515,0.09718567011755101,0.20082141708553747
neuralgcm,CHIRPS,1,5,JF,0.10522882575624704,0.16289088138111732,0.23022391772317885,0.01721257335520853,0.04859191651242584,0.13629923192840374
neuralgcm,CHIRPS,1,10,JF,0.08195338735296864,0.08781311631939735,-0.021584292091605173,0.017398213222922974,0.015667889819354384,0.08016586303710938
neuralgcm,CHIRPS,1,20,JF,0.029318197816614898,0.027236505695698222,-0.10663503922593875,0.005268707295862633,0.0024359714939620252,0.02656477479131973
neuralgcm,CHIRPS,3,1,JF,0.12114118775393197,0.276446984119276,0.39579295693491556,0.01653655434313895,0.0956207224811117,0.19981196419060435
neuralgcm,CHIRPS,3,5,JF,0.10107568228498245,0.16002297049862246,0.24999815030821904,0.012623852288611114,0.046215214985546704,0.1343664449337777
neuralgcm,CHIRPS,3,10,JF,0.07056867097370868,0.08664522498073489,0.10964212540989682,0.007704921371759025,0.01638904618773305,0.07920427284228981
neuralgcm,CHIRPS,3,20,JF,0.02528902873397123,0.026620177211663078,0.02430259186591155,0.001800882952118096,0.0024322693353532013,0.025980207655164927
neuralgcm,CHIRPS,5,1,JF,0.11401099356835115,0.2744992437625747,0.4287411685259871,0.013364970773376752,0.09865986112195307,0.19894261762130358
neuralgcm,CHIRPS,5,5,JF,0.09714145817467637,0.1584825579116871,0.2732370607196536,0.010748312260803024,0.047176414612220254,0.13332050291959904
neuralgcm,CHIRPS,5,10,JF,0.06988909147664024,0.08536077133376395,0.10591588126058227,0.007544184253153365,0.015820481830309874,0.07814028905442923
neuralgcm,CHIRPS,5,20,JF,0.02337217483674759,0.025355061889895718,0.05452158952023378,0.0008157123528192764,0.002166738146982499,0.02477964795325413
neuralgcm,CHIRPS,7,1,JF,0.12400002313209851,0.2735262383039796,0.3770846814585188,0.01818013122275023,0.09303231337408023,0.19850231481642433
neuralgcm,CHIRPS,7,5,JF,0.10095747474635815,0.15689661237766245,0.2386102318733898,0.01347013326503506,0.04502417829885493,0.13224095541117836
neuralgcm,CHIRPS,7,10,JF,0.06890975121960205,0.08482453132316585,0.1135078393470792,0.0069270349281197584,0.015746218245136494,0.07769668921324314
neuralgcm,CHIRPS,7,20,JF,0.022780784271702218,0.024952059960613664,0.06401714110477874,0.0006723590277902863,0.0022341215105987533,0.024396004817714128
neuralgcm,ERA5,1,1,JF,0.08749844422142863,0.311865617549778,0.593526741928273,0.0058552466364521095,0.13311208084687287,0.2144079200155055
neuralgcm,ERA5,1,5,JF,0.07954988704319088,0.18658093099729342,0.4772942560369319,0.00617193925222363,0.07856819526701823,0.15168055156564206
neuralgcm,ERA5,1,10,JF,0.07385677924070123,0.1063378312002176,0.22448273024234244,0.00907266420885221,0.030415499189988645,0.0950756209980856
