hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
3,609,84,44360,0.004901960784313725,0.9655172413793104,0.004310344827586207,0.14215686274509803,0.01358309659090909,0.0019309303977272727,fourcastnet,CHIRPS,3,20,OND
11232,2663,6624,24537,0.808348326736236,0.3709677419354839,0.5473950972269603,1.2850665707088882,0.30839399857954547,0.3963068181818182,gencast,CHIRPS,3,1,OND
3562,3308,3434,34752,0.518486171761281,0.4908519153802173,0.3456909937888199,1.018340611353712,0.15247691761363635,0.1552734375,gencast,CHIRPS,3,5,OND
770,2290,1615,40381,0.25163398692810457,0.6771488469601677,0.16470588235294117,0.7794117647058824,0.06791548295454546,0.052934126420454544,gencast,CHIRPS,3,10,OND
33,579,196,44248,0.05392156862745098,0.8558951965065502,0.04084158415841584,0.3741830065359477,0.01358309659090909,0.005082563920454545,gencast,CHIRPS,3,20,OND
9760,4135,9546,21615,0.7024109391867578,0.49445768154977726,0.4163644895695576,1.3894206549118389,0.30839399857954547,0.4284889914772727,graphcast,CHIRPS,3,1,OND
1854,5016,3223,34963,0.2698689956331878,0.6348237147922001,0.1836916674923214,0.7390101892285298,0.15247691761363635,0.11268199573863637,graphcast,CHIRPS,3,5,OND
226,2834,1105,40891,0.0738562091503268,0.8302028549962435,0.05426170468187275,0.4349673202614379,0.06791548295454546,0.029541015625,graphcast,CHIRPS,3,10,OND
0,612,78,44366,0.0,1.0,0.0,0.12745098039215685,0.01358309659090909,0.0017311789772727273,graphcast,CHIRPS,3,20,OND
11269,2626,8784,22377,0.8110111550917596,0.4380391961302548,0.49689139732792453,1.4431810003598418,0.30839399857954547,0.445068359375,neuralgcm,CHIRPS,3,1,OND
3296,3574,4123,34063,0.47976710334788936,0.5557352742957272,0.29982716273992543,1.0799126637554586,0.15247691761363635,0.16466175426136365,neuralgcm,CHIRPS,3,5,OND
452,2608,1242,40754,0.1477124183006536,0.7331759149940968,0.10506741050674105,0.5535947712418301,0.06791548295454546,0.03759765625,neuralgcm,CHIRPS,3,10,OND
0,612,35,44409,0.0,1.0,0.0,0.05718954248366013,0.01358309659090909,0.0007768110795454545,neuralgcm,CHIRPS,3,20,OND
9654,4383,5363,26680,0.6877537935456294,0.3571285876007192,0.49762886597938144,1.0698154876398092,0.30462239583333334,0.32588975694444444,fourcastnet,CHIRPS,5,1,OND
2316,4639,2343,36782,0.33299784327821713,0.5028976175144881,0.2490858249085825,0.6698777857656363,0.1509331597222222,0.10110677083333333,fourcastnet,CHIRPS,5,5,OND
370,2732,765,42213,0.11927788523533205,0.6740088105726872,0.09568140677527799,0.365892972275951,0.06731770833333334,0.024631076388888888,fourcastnet,CHIRPS,5,10,OND
3,611,56,45410,0.004885993485342019,0.9491525423728814,0.004477611940298508,0.09609120521172639,0.013324652777777777,0.0012803819444444444,fourcastnet,CHIRPS,5,20,OND
11505,2532,7459,24584,0.8196195768326565,0.3933241932081839,0.535215854112393,1.3510009261238156,0.30462239583333334,0.4115451388888889,gencast,CHIRPS,5,1,OND
3735,3220,4046,35079,0.5370237239396118,0.5199845778177612,0.3395145895827652,1.118763479511143,0.1509331597222222,0.16885850694444443,gencast,CHIRPS,5,5,OND
805,2297,1889,41089,0.2595099935525467,0.7011878247958426,0.16129032258064516,0.8684719535783365,0.06731770833333334,0.05846354166666667,gencast,CHIRPS,5,10,OND
25,589,227,45239,0.04071661237785016,0.9007936507936508,0.029726516052318668,0.41042345276872966,0.013324652777777777,0.00546875,gencast,CHIRPS,5,20,OND
10649,3388,12485,19558,0.7586378855880886,0.5396818535488891,0.4015157227961692,1.6480729500605542,0.30462239583333334,0.5020399305555555,graphcast,CHIRPS,5,1,OND
2275,4680,4689,34436,0.32710280373831774,0.6733199310740954,0.19537959464101684,1.001294033069734,0.1509331597222222,0.15112847222222223,graphcast,CHIRPS,5,5,OND
272,2830,1460,41518,0.08768536428110896,0.8429561200923787,0.05962297238053485,0.5583494519664732,0.06731770833333334,0.037586805555555554,graphcast,CHIRPS,5,10,OND
0,614,75,45391,0.0,1.0,0.0,0.12214983713355049,0.013324652777777777,0.0016276041666666667,graphcast,CHIRPS,5,20,OND
11408,2629,9068,22975,0.8127092683621856,0.4428599335807775,0.493745942436702,1.4587162499109496,0.30462239583333334,0.4443576388888889,neuralgcm,CHIRPS,5,1,OND
3177,3778,4113,35012,0.4567936736161035,0.5641975308641975,0.28704372967112396,1.0481667864845434,0.1509331597222222,0.158203125,neuralgcm,CHIRPS,5,5,OND
453,2649,1011,41967,0.14603481624758222,0.6905737704918032,0.11013858497447118,0.47195357833655704,0.06731770833333334,0.03177083333333333,neuralgcm,CHIRPS,5,10,OND
0,614,32,45434,0.0,1.0,0.0,0.05211726384364821,0.013324652777777777,0.0006944444444444445,neuralgcm,CHIRPS,5,20,OND
9527,4727,5618,27232,0.6683737898133857,0.3709475074281941,0.4794182769726248,1.0625087694682194,0.3026069972826087,0.3215225883152174,fourcastnet,CHIRPS,7,1,OND
2179,4919,2406,37600,0.3069878839109608,0.5247546346782987,0.22927188552188552,0.645956607495069,0.15068783967391305,0.09733780570652174,fourcastnet,CHIRPS,7,5,OND
300,2877,748,43179,0.09442870632672333,0.7137404580152672,0.07643312101910828,0.3298709474346868,0.06744650135869565,0.022248641304347828,fourcastnet,CHIRPS,7,10,OND
2,620,52,46430,0.003215434083601286,0.9629629629629629,0.002967359050445104,0.08681672025723473,0.013204823369565218,0.0011463994565217392,fourcastnet,CHIRPS,7,20,OND
11763,2491,8108,24742,0.8252420373228567,0.40803180514317344,0.5260262946069224,1.394064823909078,0.3026069972826087,0.42185377038043476,gencast,CHIRPS,7,1,OND
3600,3498,3893,36113,0.5071851225697379,0.5195515814760443,0.3275407151305614,1.055649478726402,0.15068783967391305,0.15907353940217392,gencast,CHIRPS,7,5,OND
673,2504,1677,42250,0.21183506452628265,0.7136170212765958,0.13864853728883395,0.7396915328926661,0.06744650135869565,0.04988960597826087,gencast,CHIRPS,7,10,OND
7,615,142,46340,0.011254019292604502,0.9530201342281879,0.009162303664921465,0.2395498392282958,0.013204823369565218,0.0031632133152173915,gencast,CHIRPS,7,20,OND
11229,3025,14776,18074,0.7877788690893784,0.5681984233801192,0.3868067516362384,1.8244001683737898,0.3026069972826087,0.5520762567934783,graphcast,CHIRPS,7,1,OND
2537,4561,5994,34012,0.35742462665539587,0.7026139960145352,0.1937824625725634,1.2018878557340096,0.15068783967391305,0.18110988451086957,graphcast,CHIRPS,7,5,OND
285,2892,1845,42082,0.08970727101038715,0.8661971830985915,0.05675029868578255,0.6704438149197356,0.06744650135869565,0.04521908967391304,graphcast,CHIRPS,7,10,OND
2,620,118,46364,0.003215434083601286,0.9833333333333333,0.002702702702702703,0.19292604501607716,0.013204823369565218,0.002547554347826087,graphcast,CHIRPS,7,20,OND
11935,2319,10263,22587,0.837308825592816,0.46233894945490583,0.48680507403026474,1.5573172442823067,0.3026069972826087,0.4712550951086957,neuralgcm,CHIRPS,7,1,OND
3684,3414,4864,35142,0.5190194420963652,0.5690219934487599,0.3079752549740846,1.204282896590589,0.15068783967391305,0.18147078804347827,neuralgcm,CHIRPS,7,5,OND
