hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
2993,8347,4994,137266,0.26393298059964726,0.6252660573431826,0.183237418880862,0.7043209876543209,0.073828125,0.05199869791666667,neuralgcm,ERA5,1,10,annual
243,2349,814,150194,0.09375,0.7701040681173131,0.07134468584850265,0.4077932098765432,0.016875,0.006881510416666667,neuralgcm,ERA5,1,20,annual
38351,13660,10633,91980,0.7373632500817134,0.2170708802874408,0.6122054785773577,0.9418007729134221,0.33637080918874174,0.3167942880794702,fourcastnet,ERA5,3,1,annual
11148,13013,4471,125992,0.4614047431811597,0.28625392150585827,0.38935456831517185,0.6464550308348165,0.1562564673013245,0.10101277938741722,fourcastnet,ERA5,3,5,annual
2958,8397,2009,141260,0.2605019815059445,0.404469498691363,0.22134091589344507,0.43742844561867017,0.0734362065397351,0.03212308567880795,fourcastnet,ERA5,3,10,annual
183,2412,416,151613,0.07052023121387284,0.6944908180300501,0.06077715044835603,0.2308285163776493,0.01678264693708609,0.0038739134933774835,fourcastnet,ERA5,3,20,annual
45151,6860,14858,87755,0.8681048239795428,0.2475961939042477,0.6752157202889231,1.1537751629462998,0.33637080918874174,0.3880962851821192,gencast,ERA5,3,1,annual
16133,8028,8312,122151,0.6677289847274533,0.3400286357128247,0.4968127367351338,1.0117544803609122,0.1562564673013245,0.15809318087748345,gencast,ERA5,3,5,annual
4764,6591,3702,139567,0.41955085865257596,0.4372785258681786,0.31639768878262603,0.7455746367239102,0.0734362065397351,0.05475217301324503,gencast,ERA5,3,10,annual
484,2111,667,151362,0.18651252408477842,0.579496090356212,0.1483752299202943,0.4435452793834297,0.01678264693708609,0.007443863824503311,gencast,ERA5,3,20,annual
40262,11749,26681,75932,0.7741054776874122,0.3985629565451205,0.5116403192192345,1.287093114917998,0.33637080918874174,0.43294055256622516,graphcast,ERA5,3,1,annual
9447,14714,8467,121996,0.39100202806175244,0.47264709166015406,0.289536594336153,0.7414428210752866,0.1562564673013245,0.11585523592715231,graphcast,ERA5,3,5,annual
2098,9257,3423,139846,0.18476442095992954,0.6199963774678501,0.14196778995804574,0.4862175253192426,0.0734362065397351,0.03570597061258278,graphcast,ERA5,3,10,annual
116,2479,409,151620,0.044701348747591525,0.7790476190476191,0.03861517976031957,0.2023121387283237,0.01678264693708609,0.0033953331953642386,graphcast,ERA5,3,20,annual
44088,7923,24549,78064,0.8476668397069851,0.35766423357664234,0.5758620689655173,1.3196631481801926,0.33637080918874174,0.4438961610099338,neuralgcm,ERA5,3,1,annual
14696,9465,13215,117248,0.6082529696618517,0.4734692415176812,0.3931934931506849,1.1552088075824676,0.1562564673013245,0.18050884726821192,neuralgcm,ERA5,3,5,annual
2827,8528,4354,138915,0.24896521356230736,0.6063222392424453,0.17996053217900568,0.632408630559225,0.0734362065397351,0.04644169081125828,neuralgcm,ERA5,3,10,annual
147,2448,250,151779,0.056647398843930635,0.6297229219143576,0.051669595782073814,0.15298651252408477,0.01678264693708609,0.0025675186258278145,neuralgcm,ERA5,3,20,annual
38107,14033,11444,92064,0.7308592251630226,0.23095396662024983,0.5993174383492702,0.9503452243958573,0.3349866365131579,0.3183529502467105,fourcastnet,ERA5,5,1,annual
11067,13134,4854,126593,0.4572951530928474,0.30488034671188996,0.3808982963345379,0.6578653774637412,0.15548545435855263,0.10228849712171052,fourcastnet,ERA5,5,5,annual
2858,8504,2033,142253,0.251540221791938,0.4156614189327336,0.2133631952220978,0.43046998767822564,0.072998046875,0.03142346833881579,fourcastnet,ERA5,5,10,annual
202,2394,368,152684,0.07781201848998459,0.6456140350877193,0.06815114709851552,0.21956856702619415,0.016678659539473683,0.003662109375,fourcastnet,ERA5,5,20,annual
45224,6916,17224,86284,0.8673571154583812,0.2758134768127082,0.6519808546219941,1.197698504027618,0.3349866365131579,0.40121299342105265,gencast,ERA5,5,1,annual
16709,7492,10625,120822,0.6904260154539069,0.38871003146264727,0.47978521794061907,1.1294574604355192,0.15548545435855263,0.17561420641447367,gencast,ERA5,5,5,annual
4861,6501,4504,139782,0.42782960746347476,0.4809396689802456,0.3063784192613135,0.8242386903714135,0.072998046875,0.06016781455592105,gencast,ERA5,5,10,annual
418,2178,656,152396,0.16101694915254236,0.6108007448789572,0.12853628536285364,0.413713405238829,0.016678659539473683,0.006900185032894737,gencast,ERA5,5,20,annual
43316,8824,37583,65925,0.8307633294975068,0.4645669291338583,0.48277476232404176,1.551572688914461,0.3349866365131579,0.5197561163651315,graphcast,ERA5,5,1,annual
10956,13245,14911,116536,0.4527085657617454,0.5764487571036456,0.2801186336674166,1.0688401305731168,0.15548545435855263,0.1661890933388158,graphcast,ERA5,5,5,annual
2211,9151,5353,138933,0.1945960218271431,0.7076943416181914,0.13227639844451092,0.665727864812533,0.072998046875,0.04859683388157895,graphcast,ERA5,5,10,annual
98,2498,389,152663,0.03775038520801233,0.7987679671457906,0.03283082077051926,0.18759630200308167,0.016678659539473683,0.0031288548519736842,graphcast,ERA5,5,20,annual
