nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.8,0.48977343624714065,5.2097305173200255,neuralgcm,CHIRPS,7,MAM
0.9,0.538942397956695,6.558176325894059,neuralgcm,CHIRPS,7,MAM
0.5,0.30499213272322034,1.6224274712423394,neuralgcm,ERA5,1,MAM
0.8,0.506937973597085,3.010884913993238,neuralgcm,ERA5,1,MAM
0.9,0.5770251429525834,3.818444451782791,neuralgcm,ERA5,1,MAM
0.5,0.36560124698102725,2.2913307208007327,neuralgcm,ERA5,3,MAM
0.8,0.5885991803255612,4.145616537441878,neuralgcm,ERA5,3,MAM
0.9,0.6521476659845804,5.1384957802040745,neuralgcm,ERA5,3,MAM
0.5,0.3672098307681535,2.3079361645475474,neuralgcm,ERA5,5,MAM
0.8,0.5880886129997162,4.213708599265633,neuralgcm,ERA5,5,MAM
0.9,0.6526711745899685,5.22698327705239,neuralgcm,ERA5,5,MAM
0.5,0.37034547998894585,2.802494748242037,neuralgcm,ERA5,7,MAM
0.8,0.603202267790435,5.2097305173200255,neuralgcm,ERA5,7,MAM
0.9,0.6726904704739274,6.558176325894059,neuralgcm,ERA5,7,MAM
0.5,0.24147301189121162,1.221928609431093,gencast,CHIRPS,1,JJAS
0.8,0.37532967201013345,2.334486469323532,gencast,CHIRPS,1,JJAS
0.9,0.41826801579772005,2.9698565159481483,gencast,CHIRPS,1,JJAS
0.5,0.2581057076102059,1.5928236066748351,gencast,CHIRPS,3,JJAS
0.8,0.4135065601055913,2.972957192426251,gencast,CHIRPS,3,JJAS
0.9,0.4584715289366955,3.7849094851799006,gencast,CHIRPS,3,JJAS
0.5,0.25777541204384874,1.710373814475994,gencast,CHIRPS,5,JJAS
0.8,0.42730918680719027,3.277439390872307,gencast,CHIRPS,5,JJAS
0.9,0.4766338583651111,4.276318339518299,gencast,CHIRPS,5,JJAS
0.5,0.27334602953023374,1.8508264059084556,gencast,CHIRPS,7,JJAS
0.8,0.4581088430577548,3.544247564533271,gencast,CHIRPS,7,JJAS
0.9,0.5055452311776396,4.6303146748581305,gencast,CHIRPS,7,JJAS
0.5,0.3534707483557029,1.221928609431093,gencast,ERA5,1,JJAS
0.8,0.5769183299014694,2.334486469323532,gencast,ERA5,1,JJAS
0.9,0.6526514156467823,2.9698565159481483,gencast,ERA5,1,JJAS
0.5,0.3728395414017553,1.5928236066748351,gencast,ERA5,3,JJAS
0.8,0.6025122474154591,2.972957192426251,gencast,ERA5,3,JJAS
0.9,0.6746667099194783,3.7849094851799006,gencast,ERA5,3,JJAS
0.5,0.36166398163406666,1.710373814475994,gencast,ERA5,5,JJAS
0.8,0.5981977463372846,3.277439390872307,gencast,ERA5,5,JJAS
0.9,0.6722286583564332,4.276318339518299,gencast,ERA5,5,JJAS
0.5,0.38043763019915366,1.8508264059084556,gencast,ERA5,7,JJAS
0.8,0.62224299339518,3.544247564533271,gencast,ERA5,7,JJAS
0.9,0.6938357203931413,4.6303146748581305,gencast,ERA5,7,JJAS
0.5,0.22477887995302698,1.178057904607912,neuralgcm,CHIRPS,1,JJAS
0.8,0.42764950512140976,2.1605988012623687,neuralgcm,CHIRPS,1,JJAS
0.9,0.4689306573962237,2.698265590229098,neuralgcm,CHIRPS,1,JJAS
