model,obs,lead_day,threshold_mm_day,season,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,5,20,annual,0.0,0.00975582007195984,140634,0.00975582007195984,0.008814761513157895,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.1,0.05544954540352453,8909,0.044550454596475476,0.0025499845805921056,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.2,0.07821590174531351,3094,0.1217840982546865,0.0024208470394736846,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.3,0.10947832476120499,1361,0.19052167523879499,0.0016659385279605263,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.4,0.10359712230215827,695,0.29640287769784174,0.001323499177631579,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.5,0.11956521739130435,368,0.3804347826086957,0.0008994654605263159,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.6,0.1572052401746725,229,0.44279475982532746,0.0006514699835526315,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.7,0.22485207100591717,169,0.47514792899408276,0.0005159076891447367,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.8,0.20408163265306123,98,0.5959183673469388,0.0003752055921052632,0.019604492187500003
gencast,CHIRPS,5,20,annual,0.9,0.2982456140350877,57,0.6017543859649124,0.0002203690378289474,0.019604492187500003
gencast,CHIRPS,5,20,annual,1.0,0.23529411764705882,34,0.7647058823529411,0.00016704358552631577,0.019604492187500003
gencast,CHIRPS,7,1,annual,0.0,0.061607802116662565,65008,0.061607802116662565,0.025562959558823532,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.1,0.1860333616058807,14148,0.08603336160588068,0.0077690972222222215,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.2,0.271356783919598,8955,0.07135678391959799,0.00407858455882353,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.3,0.33916972606608303,7082,0.039169726066083044,0.0017705780228758176,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.4,0.40174605605758923,6529,0.001746056057589207,7.276348039215643e-05,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.5,0.4699345410260314,6569,0.030065458973968617,0.001260595383986927,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.6,0.5371549893842887,6594,0.06284501061571124,0.0026450163398692808,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.7,0.6032867037892163,7363,0.09671329621078362,0.004545164419934639,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.8,0.6623268036311515,8372,0.13767319636884856,0.007356770833333334,0.08598856209150327
gencast,CHIRPS,7,1,annual,0.9,0.7213114754098361,10126,0.17868852459016393,0.011548968545751635,0.08598856209150327
gencast,CHIRPS,7,1,annual,1.0,0.8093683285194022,15926,0.1906316714805978,0.0193780637254902,0.08598856209150327
gencast,CHIRPS,7,5,annual,0.0,0.03571721647792549,97488,0.03571721647792549,0.022224775326797383,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.1,0.1875419619544946,13405,0.0875419619544946,0.007490170547385622,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.2,0.28044114337159576,8886,0.08044114337159575,0.004562397875816992,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.3,0.32716216216216215,7400,0.027162162162162162,0.0012829350490196078,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.4,0.3719814009299535,6667,0.0280185990700465,0.0011922998366013073,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.5,0.44081482840888236,5449,0.059185171591117636,0.0020584405637254903,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.6,0.47101599833783503,4813,0.12898400166216495,0.003962418300653594,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.7,0.5177893738140418,4216,0.18221062618595818,0.004903237336601305,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.8,0.5511280398476414,3413,0.24887196015235868,0.005421517565359478,0.0644735498366013
gencast,CHIRPS,7,5,annual,0.9,0.5654627539503386,2658,0.3345372460496614,0.005675551470588235,0.0644735498366013
gencast,CHIRPS,7,5,annual,1.0,0.6078173034694774,2277,0.3921826965305226,0.005699805964052288,0.0644735498366013
gencast,CHIRPS,7,10,annual,0.0,0.02641805960078238,117079,0.02641805960078238,0.01974188112745098,0.0455499387254902
